date,cu_regime,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,nacn_consumption_tpd,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,recovery_au_pct,flag_high_nacn_low_free,flag_high_nacn_low_recovery,flag_high_nacn_high_complexed
2025-11-14,High Cu,15349.603500000001,4527.21875,4.510539962807508,69.235,246.75,13.1271875,12.8804375,80.32728460236167,True,False,True
2025-11-15,High Cu,15798.7935,4314.90625,3.8180130653647697,60.32,405.09375,13.15875,12.753656249999999,81.82935333921192,False,False,True
2025-11-17,High Cu,15021.4995,4178.15625,3.5282762549770745,53.0,214.96875,12.086875,11.871906249999999,84.68905625818451,True,False,True
2025-11-18,High Cu,13433.710500000001,4274.78125,4.650986039932899,62.480000000000004,236.78125,12.46625,12.22946875,79.79470189869429,True,False,True
2025-11-19,High Cu,14517.6255,4500.625,3.566698975669265,51.78,166.78125,12.477187500000001,12.310406250000002,82.70530258356673,True,False,True
2025-11-20,High Cu,12460.140000000001,4772.90625,5.522409860563364,68.81,45.03125,12.0434375,11.99840625,76.85556465062132,True,False,True
2025-11-21,High Cu,16024.365,4911.6875,6.091661042418843,97.61500000000001,130.375,13.31375,13.183375,74.82696835970319,True,False,True
2025-11-22,High Cu,7050.33,5090.25,8.640021105395066,60.915,101.33333333333334,13.710833333333333,13.6095,69.02724493947271,True,True,True
2025-11-23,High Cu,15021.4995,5168.375,4.611057637754473,69.265,193.96875,14.539955357142858,14.345986607142859,63.648346751077554,True,True,True
2025-11-25,High Cu,14910.1785,5182.75,5.521396004749372,82.32499999999999,318.6875,15.462499999999999,15.1438125,72.07836457203084,False,False,True
2025-11-27,High Cu,14773.4685,5724.5625,6.914422296971087,102.15,114.8125,15.2540625,15.13925,77.93121643432994,True,False,True
2025-11-28,High Cu,12375.184500000001,6099.4375,5.7780956720281615,71.505,168.3125,16.866875,16.6985625,80.5879314132482,True,False,True
2025-11-29,High Cu,3711.6765,6570.0,8.256376869050953,30.645,32.0,16.299999999999997,16.267999999999997,68.13461035509305,True,True,True
2025-12-02,High Cu,8414.5005,6453.35,4.278328820587746,36.0,7.226999999999999,14.405,14.397772999999999,67.19122044103638,True,True,True
2025-12-03,High Cu,8805.1005,5559.0,6.675676217437836,58.78,31.916666666666668,13.767083333333332,13.735166666666665,58.45295978440057,True,True,True
2025-12-04,High Cu,13133.925000000001,4981.5625,4.925793317686829,64.695,285.46875,14.501562499999999,14.216093749999999,68.48722787978775,True,True,True
2025-12-09,High Cu,15041.0295,3918.46875,3.471171969977188,52.21,249.3125,11.247499999999999,10.998187499999998,58.07380337371361,True,True,True
2025-12-11,High Cu,16057.566,3880.0625,3.675525917190687,59.019999999999996,147.6875,10.666562500000001,10.518875000000001,,True,False,True
2025-12-12,High Cu,18003.7305,4023.34375,3.5934219299716794,64.695,187.8125,11.072499999999998,10.884687499999998,71.18579162776389,True,False,True
2025-12-13,High Cu,16905.168,4279.9375,4.271770620676469,72.215,138.1875,11.660625000000001,11.5224375,70.00128287651034,True,True,True
2025-12-16,High Cu,15238.282500000001,3822.21875,3.720891773728437,56.7,285.325,10.8821875,10.5968625,76.20646749929976,True,False,True
2025-12-17,High Cu,17088.75,3434.53125,3.452563821227416,59.0,353.4375,10.27125,9.9178125,65.14039404763719,False,True,True
2025-12-18,High Cu,17494.974000000002,3708.65625,4.115467676602434,72.0,157.4375,9.805,9.6475625,69.90998361286894,True,True,False
2025-12-19,High Cu,5047.5285,4290.0,11.37190211011191,57.4,17.375,10.1575,10.140125000000001,65.05409063698778,True,True,True
2025-12-20,High Cu,15159.186,4036.9375,5.679724491803188,86.1,487.3125,12.26375,11.7764375,68.68740498040502,False,True,True
2025-12-21,High Cu,17937.3285,4164.375,4.248124239905625,76.2,522.5,12.9253125,12.4028125,70.15258141354684,False,True,True
2025-12-24,High Cu,8334.4275,4187.8125,3.695514778909529,30.8,537.4375,12.948125,12.4106875,73.95165287145336,False,False,True
2025-12-26,High Cu,8699.638500000001,4161.5,3.9139557350572667,34.05,171.5625,12.0015625,11.83,62.302264794506,True,True,True
2025-12-27,High Cu,8542.422,4149.25,8.370576869183001,71.505,220.40625,12.265625,12.04521875,70.97104607223923,True,False,True
2026-01-02,High Cu,14598.3908,4148.25,6.4531085165907465,40.86,264.90625,12.325,12.06009375,63.2381037262785,True,True,True
2026-01-04,High Cu,15477.870799999999,4333.28125,6.086625299908823,37.458,186.59375,12.3696875,12.18309375,56.61331154493624,True,True,True
2026-01-08,High Cu,16155.070399999999,4313.0625,4.396452521803929,40.025,229.4375,12.6096875,12.38025,72.7255062506527,True,False,True
2026-01-09,High Cu,15200.346,3902.09375,4.088064837471463,25.82,183.46875,11.4209375,11.237468750000001,82.07766882665467,True,False,True
2026-01-10,High Cu,9314.670399999999,3659.1,3.783279331064682,8.0,146.05,10.3915,10.24545,81.88442302695876,True,False,True
2026-01-11,High Cu,9674.279999999999,3556.75,4.13467462178064,24.0,144.14285714285714,10.15357142857143,10.009428571428574,69.75253009964445,True,True,True
2026-01-12,High Cu,15077.218799999999,3818.178571428571,4.045839011104621,25.0,63.642857142857146,9.944642857142858,9.881,59.47512220809573,True,True,True
