date,cu_regime,free_cn_status,support_position,throughput_tpd,cu_solution_ppm_avg,free_cn_ppm_avg,wad_gpl_avg,complexed_cn_gpl_avg,specific_nacn_kgpt,nacn_consumption_tpd,recovery_au_pct,regime_free_cn_band,support_analogue_count,support_specific_nacn_band,support_nacn_tpd_band,support_free_cn_p50,support_recovery_p50,support_comment
2026-01-13,High Cu,Low Free CN,High dose / high complexation risk,17446.928799999998,4272.625,139.375,11.693124999999998,11.553749999999999,4.585334239456517,40.0,69.15576915634234,186 to 422,20,3.08 to 4.55,38.0 to 63.0,296.53125,77.18486777647709,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-11-09,High Cu,Normal Free CN,High dose / high complexation risk,14258.853000000001,3855.90625,362.625,11.718124999999999,11.3555,6.208774296221442,88.53,77.75073865091575,186 to 422,20,2.56 to 4.39,37.5 to 55.3,600.5558035714286,79.93164754377165,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2026-01-26,High Cu,High Free CN,High dose / high complexation risk,13007.509199999999,3684.416666666667,458.5416666666667,11.634166666666667,11.175625,4.8864082294863955,27.24,68.00155969662839,186 to 422,20,3.08 to 4.60,32.5 to 60.9,361.875,78.15597962947307,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2026-03-07,High Cu,Normal Free CN,High dose / high complexation risk,11716.7919,3813.1875,228.34375,11.2846875,11.05634375,6.568777584929199,32.7,62.202195600656,186 to 422,20,3.13 to 4.37,30.7 to 62.5,288.5174107142857,76.56468549146518,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2026-03-01,High Cu,Normal Free CN,High dose / high complexation risk,14016.830300000001,3613.125,409.5,11.185,10.775500000000001,5.095445865532095,40.777,67.584257724365,186 to 422,20,3.15 to 4.35,30.0 to 57.0,279.50625,77.61002140517411,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-11-01,High Cu,High Free CN,High dose / high complexation risk,11872.417,3494.46875,502.96875,11.0928125,10.58984375,4.588787607443371,54.48,81.17377473712418,186 to 422,20,2.77 to 4.48,40.1 to 58.7,497.734375,79.3776324877339,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2025-10-20,High Cu,High Free CN,High dose / high complexation risk,13800.823,3415.34375,624.46875,11.119375000000002,10.494906250000001,5.921385992704928,81.72,83.33730643208467,186 to 422,20,2.21 to 3.60,33.1 to 49.2,569.578125,78.95223101006852,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
2025-11-03,High Cu,High Free CN,High dose / high complexation risk,14570.826,3406.6875,478.9375,10.7884375,10.3095,4.941380811218252,72.0,68.52506799518962,186 to 422,18,2.62 to 4.52,37.5 to 57.0,600.5558035714286,79.3776324877339,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-12-19,High Cu,Low Free CN,High dose / high complexation risk,5047.5285,4290.0,17.375,10.1575,10.140125000000001,11.37190211011191,57.4,65.05409063698778,186 to 422,20,3.52 to 5.51,47.7 to 65.5,397.484375,79.10977739859443,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2026-03-06,High Cu,Normal Free CN,High dose / high complexation risk,11911.0519,3609.5,186.10714285714283,10.246785714285716,10.060678571428573,5.2342144525455385,19.215,65.21657036444014,186 to 422,20,3.13 to 4.37,30.7 to 59.0,288.5174107142857,77.18486777647709,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated. Recovery is currently in the lower historical range.
2025-10-19,High Cu,High Free CN,High dose / high complexation risk,11716.086,3276.3125,493.5625,10.4125,9.9189375,5.812521348853194,68.10000000000001,85.78437260928352,186 to 422,20,2.32 to 3.60,33.1 to 49.2,576.9375,78.57558851920808,High-Cu regime: maintaining free CN is likely to be difficult. Current dosing is already high relative to supported analogues and complexation risk is elevated. Complexed/WAD cyanide is elevated.
