date,cu_regime,guidance_status_v2,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,analogue_count,analog_specific_p25,analog_specific_p50,analog_specific_p75,analog_free_cn_p50,analog_complexed_p50,analog_recovery_p50
2025-10-01,Medium Cu,Normal,15761.6427,2573.875,1.2961846927287597,736.09375,8.45859375,81.13665612851388,20,1.3954680774916073,2.1320683780717955,3.205998659176295,551.078125,6.657765625000001,70.28443021664592
2025-10-02,Medium Cu,Normal,14429.835299999999,2406.8125,2.123724863304573,860.53125,8.062906250000001,72.46292610420737,20,1.2449607217021668,1.5089633693834132,2.2024796104243425,663.671875,5.26784375,77.93387681374435
2025-10-03,Medium Cu,Normal,2972.0637,2337.375,3.437005741162277,718.375,7.741625000000001,72.61622531643751,20,0.9869880809401516,1.8178555608331752,2.9978927508035946,406.578125,4.110828125,81.50789297533007
2025-10-06,Medium Cu,Normal,9553.2678,2056.875,0.9504601137633764,756.0,6.881083333333334,79.35868894083254,20,1.3140918695934853,1.599720900057052,2.8445206510455967,546.3177083333334,4.254005208333334,79.2006416824407
2025-10-07,Medium Cu,Normal,14419.2654,1950.75,1.2594261563421947,722.3125,6.5533125,80.28446856530907,20,1.2600418590403986,1.6011013082472236,2.240918323732972,573.53125,5.375375,72.95364331394128
2025-10-08,Medium Cu,Normal,9514.8318,1950.15,2.266461504868641,576.5,6.434,84.56416109903316,20,1.4302822327207674,2.41381069108896,3.3002465247812003,462.16964285714283,4.968703124999999,76.90526806290409
2025-10-09,Medium Cu,Normal,15877.9116,2011.9375,1.9300397163062677,577.25,6.623375,80.9235860381319,20,1.606371413170194,2.1406932945232313,3.205998659176295,509.421875,6.879406250000001,71.71298561388639
2025-10-10,Medium Cu,Normal,16678.3413,2020.53125,2.517936241057736,680.28125,6.68846875,76.41502088433408,20,1.2869950586321184,1.6783607700857845,2.289822648252828,613.484375,7.1552500000000006,72.95364331394128
2025-10-11,Medium Cu,Normal,15586.758899999999,2062.21875,2.475819395653833,551.78125,6.75634375,74.46365092052574,20,1.6884957825810525,2.504482384436985,3.345774633984147,448.84375,6.8175848214285715,74.5060368732697
2025-10-12,Medium Cu,Normal,14707.535399999999,2099.90625,2.0836257854596085,695.46875,6.98859375,78.29192968327168,20,1.4396086989853103,2.115099946853137,2.572137922925187,590.875,6.722406250000001,75.43933590242992
2025-10-13,Medium Cu,Normal,17822.704999999998,2077.5,1.4010218987521816,562.53125,6.88621875,79.7203260186216,20,1.6884957825810525,2.1406932945232313,2.698414803971117,567.734375,7.068515625,72.95364331394128
2025-10-16,Medium Cu,Normal,15128.18,2395.09375,2.2438257609309247,426.90625,7.640593749999999,80.2295152015195,20,1.6884957825810525,2.3167405606978613,2.8520029723634757,540.640625,6.916459821428572,75.43933590242992
2025-10-17,Medium Cu,Normal,14378.568,2630.875,3.3153510140926414,576.625,8.373999999999999,80.3720805654313,20,1.8721874859987808,2.2551436328997827,3.0784319054934093,569.515625,7.6638593749999995,75.43933590242992
2025-10-18,High Cu,Normal,13635.752999999999,2869.34375,2.7468230027340628,389.875,8.6754375,84.76507912724844,20,1.6748229092365512,1.9834433193095449,2.825645313872379,363.96875,4.706515625,78.41891738380897
2025-10-19,High Cu,Watch,11716.086,3276.3125,5.812521348853194,493.5625,9.9189375,85.78437260928352,20,2.743802994182432,3.263998349591988,4.211264385404865,455.734375,8.079772321428571,72.296660419528
