date,throughput_tpd,rt_hours_est,nacn_input_tpd,wad_cn_accountability_pct,cu_solution_fraction_pct_est,flag_count,flag_high_cu_solution_fraction,flag_high_wad_accountability,flag_high_specific_nacn,flag_high_rt,flag_low_rt
2025-04-19,10491.002,39.892,14.755,182.908,194.981,2,True,True,False,False,False
2025-04-20,2994.835,139.742,3.405,226.482,120.536,3,True,True,False,True,False
2025-04-21,4167.724,100.415,4.54,245.657,99.674,3,True,True,False,True,False
2025-04-22,6041.288,69.274,12.485,136.068,75.712,3,True,True,False,True,False
2025-04-23,11184.03,37.42,15.89,238.602,79.664,2,True,True,False,False,False
2025-04-24,9194.802,45.515,31.78,101.884,198.515,2,True,True,False,False,False
2025-04-25,13004.064,32.182,15.89,324.546,480.965,2,True,True,False,False,False
2025-04-26,13661.723,30.633,12.485,428.262,333.586,2,True,True,False,False,False
2025-04-27,13618.707,30.73,9.08,535.449,290.786,2,True,True,False,False,False
2025-04-28,13079.58,31.997,9.08,516.413,242.085,2,True,True,False,False,False
2025-04-29,5328.187,78.545,5.675,336.122,199.034,3,True,True,False,True,False
2025-04-30,7993.236,52.357,9.08,314.125,246.397,2,True,True,False,False,False
2025-05-01,7358.518,56.873,19.295,146.922,518.697,2,True,True,False,False,False
2025-05-02,4161.989,100.554,17.025,101.758,1056.138,3,True,True,False,True,False
2025-05-03,5786.063,72.329,7.945,291.852,1033.68,3,True,True,False,True,False
2025-05-04,11009.1,38.014,3.405,1287.224,298.33,2,True,True,False,False,False
2025-05-05,4127.576,101.392,2.27,710.355,776.494,3,True,True,False,True,False
2025-05-06,9335.319,44.83,9.08,377.705,176.45,2,True,True,False,False,False
2025-05-07,13092.006,31.966,14.755,304.896,122.302,2,True,True,False,False,False
2025-05-08,12760.704,32.796,29.51,157.076,190.534,2,True,True,False,False,False
2025-05-09,14524.74,28.813,18.16,303.632,432.944,2,True,True,False,False,False
2025-05-10,12814.47,32.659,18.46,265.522,109.204,2,True,True,False,False,False
2025-05-11,13439.43,31.14,15.89,311.141,193.644,2,True,True,False,False,False
