pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
8,Production,legacy_bounds_fit,bottom_toe_floor,12,444324.88383297744,6812622.471763492,185.0
8,Production,legacy_bounds_fit,bottom_toe_floor,13,444337.7565796177,6812500.765795257,185.0
8,Production,legacy_bounds_fit,top_crest,1,444236.5386862328,6812604.139463337,200.0
8,Production,legacy_bounds_fit,top_crest,2,444235.4125969039,6812604.139463337,200.0
8,Production,legacy_bounds_fit,top_crest,3,444234.9839867111,6812615.497633454,200.0
8,Production,legacy_bounds_fit,top_crest,4,444329.7198029592,6812628.655385711,200.0
8,Production,legacy_bounds_fit,top_crest,5,444343.68230073305,6812496.646315848,200.0
8,Production,legacy_bounds_fit,top_crest,6,444315.81987600366,6812489.518718826,200.0
8,Production,legacy_bounds_fit,top_crest,7,444310.9467781588,6812488.371762187,200.0
8,Production,legacy_bounds_fit,top_crest,8,444309.94391518267,6812488.123664309,200.0
8,Production,legacy_bounds_fit,top_crest,9,444297.2799262135,6812484.837586995,200.0
8,Production,legacy_bounds_fit,top_crest,10,444285.66391073755,6812482.472780768,200.0
8,Production,legacy_bounds_fit,top_crest,11,444284.7840592442,6812482.357728546,200.0
8,Production,legacy_bounds_fit,top_crest,12,444241.1799300292,6812481.146502735,200.0
8,Production,legacy_bounds_fit,top_crest,13,444236.5386862328,6812604.139463337,200.0
9,Production,legacy_bounds_fit,bottom_toe_floor,1,444239.455605274,6812610.769266546,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,2,444178.60262115655,6812610.769266546,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,3,444110.7281388718,6812615.450265324,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,4,444114.3258659731,6812653.483380396,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,5,444120.0901364282,6812700.878493028,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,6,444118.82277447166,6812701.022127382,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,7,444118.9198867337,6812702.048742723,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,8,444239.455605274,6812699.708243333,185.0
9,Production,legacy_bounds_fit,bottom_toe_floor,9,444239.455605274,6812610.769266546,185.0
9,Production,legacy_bounds_fit,top_crest,1,444114.00596517534,6812696.073528327,200.0
9,Production,legacy_bounds_fit,top_crest,2,444112.8827795769,6812696.200822694,200.0
