MEASURE_WHILE_DRILLING_PK,DATE_TIME,DRILL_PATTERN,PATTERN_HOLE_NUMBER,X,Y,Z,BOTTOM_Z,TOP_Z,CURRENT_DEPTH,TOTAL_DEPTH,MINE_HOLE_NUMBER,MWD_DRILL_NUMBER,MWD_DIAMETER,MWD_PEN,MWD_RPM,MWD_TORQUE,MWD_WOB,ACTUAL_MAST_ANGLE,ACTUAL_DRILL_HEADING,AUDIT_JOB_SK,AUDIT_ETL_SK,ODW_INSERT_DATE,ODW_UPDATE_DATE,GUID_HOLE_BY_HOLE,GUID_HOLE_DATA
43853574,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,413.9042,406.6779,420.1819,6.2776489258,13.5039978027,5100001338484,1,251.0,1.5311669111,93.7571640015,2320.189453125,11.5279808044,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,5E16538D-AAF4-EE11-8D94-0030646254DD
43853575,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,414.2104,406.6779,420.1819,5.9714355469,13.5039978027,5100001338484,1,251.0,0.6544405222,87.568321228,2319.970703125,11.5532064438,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,68A1B085-AAF4-EE11-8D94-0030646254DD
43853576,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,414.5158,406.6779,420.1819,5.6660766602,13.5039978027,5100001338484,1,251.0,0.8763905168,88.9053344727,2465.6928710938,11.5741214752,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,FF136F75-AAF4-EE11-8D94-0030646254DD
43853577,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,414.8225,406.6779,420.1819,5.359375,13.5039978027,5100001338484,1,251.0,1.3123123646,91.5643005371,2481.7309570313,11.292011261,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,948F8568-AAF4-EE11-8D94-0030646254DD
43853578,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,415.1287,406.6779,420.1819,5.0531921387,13.5039978027,5100001338484,1,251.0,0.7621239424,87.4509887695,2391.2604980469,11.457736969,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,160E6960-AAF4-EE11-8D94-0030646254DD
43853579,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,415.4335,406.6779,420.1819,4.7483825684,13.5039978027,5100001338484,1,251.0,2.2861716747,95.0051422119,2090.2624511719,8.4714307785,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,7F93554D-AAF4-EE11-8D94-0030646254DD
43853580,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,415.7383,406.6779,420.1819,4.443572998,13.5039978027,5100001338484,1,251.0,3.6948020458,97.7900314331,2062.7224121094,8.1140098572,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,7E93554D-AAF4-EE11-8D94-0030646254DD
43853581,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,416.0462,406.6779,420.1819,4.1356811523,13.5039978027,5100001338484,1,251.0,3.0665061474,97.2303924561,2177.69921875,9.8189077377,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,26EAD046-AAF4-EE11-8D94-0030646254DD
43853582,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,416.3528,406.6779,420.1819,3.8290405273,13.5039978027,5100001338484,1,251.0,1.0775140524,90.7418060303,2356.404296875,11.5820770264,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,25EAD046-AAF4-EE11-8D94-0030646254DD
43853583,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,416.6581,406.6779,420.1819,3.5237731934,13.5039978027,5100001338484,1,251.0,0.593834281,87.380569458,2549.0356445313,11.5429286957,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,5E4DFC3C-AAF4-EE11-8D94-0030646254DD
43853584,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,416.9649,406.6779,420.1819,3.217010498,13.5039978027,5100001338484,1,251.0,0.5734490156,87.7613677979,2433.8862304688,11.5547609329,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,BCF56F2A-AAF4-EE11-8D94-0030646254DD
43853585,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,417.2707,406.6779,420.1819,2.9112243652,13.5039978027,5100001338484,1,251.0,0.5398842096,88.2727813721,2370.3635253906,11.475605011,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,346F1A17-AAF4-EE11-8D94-0030646254DD
43853586,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,417.5765,406.6779,420.1819,2.6053466797,13.5039978027,5100001338484,1,251.0,1.861184001,82.3153457642,2563.2333984375,10.4616718292,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,CACF28FD-A9F4-EE11-8D94-0030646254DD
43853587,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,417.8867,406.6779,420.1819,2.2951660156,13.5039978027,5100001338484,1,251.0,0.7117464542,93.5065002441,2454.2963867188,11.5413656235,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,C9CF28FD-A9F4-EE11-8D94-0030646254DD
43853588,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,418.1951,406.6779,420.1819,1.9867858887,13.5039978027,5100001338484,1,251.0,0.0868885219,52.8542366028,1273.1190185547,5.8717417717,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,ADF43CED-A9F4-EE11-8D94-0030646254DD
43853589,2024.04.07 14:54:11,B102_408_804,73.0,801758.669,7513080.905,418.5003,406.6779,420.1819,1.6815795898,13.5039978027,5100001338484,1,251.0,0.0817944631,51.4401168823,1266.0948486328,5.9509749413,-7.35,270.93,834762,24292218,2024.04.07 16:13:47,2024.04.07 16:13:47,EB3EB3A2-ABF4-EE11-8D94-0030646254DD,14461565-A9F4-EE11-8D94-0030646254DD
