pattern_id,pattern_type,pattern_source,point_id,x,y,floor_rl,crest_rl
16,Production,auto_grid,16,443733.42632136605,6812628.084056786,185.0,200.0
17,Production,auto_grid,1,443811.0131848065,6812575.932102644,185.0,200.0
17,Production,auto_grid,2,443817.0062106235,6812665.732345636,185.0,200.0
17,Production,auto_grid,3,443926.76206317026,6812658.407536304,185.0,200.0
17,Production,auto_grid,4,443920.76903735305,6812568.6072933115,185.0,200.0
17,Production,auto_grid,5,443811.0131848065,6812575.932102644,185.0,200.0
18,Production,auto_grid,1,443920.76903735305,6812568.6072933115,185.0,200.0
18,Production,auto_grid,2,443926.76206317026,6812658.407536304,185.0,200.0
18,Production,auto_grid,3,444036.5179157169,6812651.082726972,185.0,200.0
18,Production,auto_grid,4,444030.5248898998,6812561.28248398,185.0,200.0
18,Production,auto_grid,5,443920.76903735305,6812568.6072933115,185.0,200.0
19,Production,auto_grid,1,444030.5248898998,6812561.28248398,185.0,200.0
19,Production,auto_grid,2,444036.5179157169,6812651.082726972,185.0,200.0
19,Production,auto_grid,3,444146.2737682636,6812643.75791764,185.0,200.0
19,Production,auto_grid,4,444140.2807424465,6812553.957674648,185.0,200.0
19,Production,auto_grid,5,444030.5248898998,6812561.28248398,185.0,200.0
20,Production,auto_grid,1,444140.2807424465,6812553.957674648,185.0,200.0
20,Production,auto_grid,2,444146.2737682636,6812643.75791764,185.0,200.0
20,Production,auto_grid,3,444256.02962081035,6812636.433108307,185.0,200.0
20,Production,auto_grid,4,444250.03659499314,6812546.632865315,185.0,200.0
20,Production,auto_grid,5,444140.2807424465,6812553.957674648,185.0,200.0
21,Production,auto_grid,1,444250.03659499314,6812546.632865315,185.0,200.0
21,Production,auto_grid,2,444256.02962081035,6812636.433108307,185.0,200.0
21,Production,auto_grid,3,444365.7854733569,6812629.108298976,185.0,200.0
21,Production,auto_grid,4,444359.7924475399,6812539.308055984,185.0,200.0
21,Production,auto_grid,5,444250.03659499314,6812546.632865315,185.0,200.0
