pattern_id,pattern_type,pattern_source,surface,vertex_id,x,y,z_rl
4,Production,auto_grid,bottom_toe_floor,15,443920.91852457944,6812453.214893372,185.0
4,Production,auto_grid,bottom_toe_floor,16,443917.79262220085,6812456.569993011,185.0
4,Production,auto_grid,bottom_toe_floor,17,443915.43274662975,6812459.610183839,185.0
4,Production,auto_grid,bottom_toe_floor,18,443913.67556656426,6812462.317846221,185.0
4,Production,auto_grid,bottom_toe_floor,19,443914.77601153596,6812478.807050318,185.0
4,Production,auto_grid,bottom_toe_floor,20,444024.5318640826,6812471.482240987,185.0
4,Production,auto_grid,bottom_toe_floor,21,444021.3548193315,6812423.877007944,185.0
4,Production,auto_grid,bottom_toe_floor,22,444016.4344865814,6812426.0754833,185.0
4,Production,auto_grid,top_crest,1,444014.433919334,6812420.989613753,200.0
4,Production,auto_grid,top_crest,2,444002.24696095334,6812425.154872433,200.0
4,Production,auto_grid,top_crest,3,443989.6653042157,6812428.25370521,200.0
4,Production,auto_grid,top_crest,4,443976.7517037002,6812430.308530579,200.0
4,Production,auto_grid,top_crest,5,443965.79682831414,6812431.176282784,200.0
4,Production,auto_grid,top_crest,6,443957.7218881153,6812432.2671238305,200.0
4,Production,auto_grid,top_crest,7,443950.2588134719,6812433.733585344,200.0
4,Production,auto_grid,top_crest,8,443943.39458391175,6812435.547748361,200.0
4,Production,auto_grid,top_crest,9,443936.34774787386,6812437.940375561,200.0
4,Production,auto_grid,top_crest,10,443930.1810554702,6812440.225293919,200.0
4,Production,auto_grid,top_crest,11,443925.9177469238,6812441.999072851,200.0
4,Production,auto_grid,top_crest,12,443924.00477963383,6812442.935446298,200.0
4,Production,auto_grid,top_crest,13,443922.7913669445,6812443.882518723,200.0
4,Production,auto_grid,top_crest,14,443920.34864849964,6812446.079983107,200.0
4,Production,auto_grid,top_crest,15,443916.9943932053,6812449.417713085,200.0
4,Production,auto_grid,top_crest,16,443913.63057183445,6812453.028176402,200.0
4,Production,auto_grid,top_crest,17,443910.9785926702,6812456.444679725,200.0
4,Production,auto_grid,top_crest,18,443908.1071935727,6812460.86925719,200.0
4,Production,auto_grid,top_crest,19,443909.6921227912,6812484.618033401,200.0
4,Production,auto_grid,top_crest,20,444030.3428471643,6812476.566129732,200.0
4,Production,auto_grid,top_crest,21,444026.2805632447,6812415.696363069,200.0
4,Production,auto_grid,top_crest,22,444014.433919334,6812420.989613753,200.0
5,Production,auto_grid,bottom_toe_floor,1,444118.366972357,6812415.714724039,185.0
5,Production,auto_grid,bottom_toe_floor,2,444077.5769672589,6812415.947063417,185.0
5,Production,auto_grid,bottom_toe_floor,3,444049.66611075116,6812416.36430157,185.0
5,Production,auto_grid,bottom_toe_floor,4,444038.47633313044,6812416.796155221,185.0
5,Production,auto_grid,bottom_toe_floor,5,444037.5858642507,6812417.086772313,185.0
5,Production,auto_grid,bottom_toe_floor,6,444032.968503162,6812418.8572811335,185.0
5,Production,auto_grid,bottom_toe_floor,7,444026.49333550263,6812421.5810451,185.0
5,Production,auto_grid,bottom_toe_floor,8,444021.3548193315,6812423.877007944,185.0
5,Production,auto_grid,bottom_toe_floor,9,444024.5318640826,6812471.482240987,185.0
5,Production,auto_grid,bottom_toe_floor,10,444134.2877166294,6812464.157431655,185.0
5,Production,auto_grid,bottom_toe_floor,11,444131.054136821,6812415.705070296,185.0
5,Production,auto_grid,bottom_toe_floor,12,444118.366972357,6812415.714724039,185.0
5,Production,auto_grid,top_crest,1,444118.3493465684,6812410.255182357,200.0
5,Production,auto_grid,top_crest,2,444077.5206147687,6812410.487742322,200.0
5,Production,auto_grid,top_crest,3,444049.5200141153,6812410.9063220555,200.0
5,Production,auto_grid,top_crest,4,444037.505635584,6812411.370000013,200.0
5,Production,auto_grid,top_crest,5,444035.7604189241,6812411.939576113,200.0
5,Production,auto_grid,top_crest,6,444030.93220195017,6812413.790936787,200.0
5,Production,auto_grid,top_crest,7,444024.32103135245,6812416.571910068,200.0
5,Production,auto_grid,top_crest,8,444015.65404132433,6812420.444445719,200.0
5,Production,auto_grid,top_crest,9,444019.44797533785,6812477.293224069,200.0
5,Production,auto_grid,top_crest,10,444140.0986997111,6812469.2413204,200.0
5,Production,auto_grid,top_crest,11,444136.16121957917,6812410.241629191,200.0
5,Production,auto_grid,top_crest,12,444118.3493465684,6812410.255182357,200.0
6,Production,auto_grid,bottom_toe_floor,1,444213.8606680162,6812416.461160272,185.0
6,Production,auto_grid,bottom_toe_floor,2,444171.4544904378,6812415.674329418,185.0
6,Production,auto_grid,bottom_toe_floor,3,444131.054136821,6812415.705070296,185.0
6,Production,auto_grid,bottom_toe_floor,4,444134.2877166294,6812464.157431655,185.0
6,Production,auto_grid,bottom_toe_floor,5,444244.04356917605,6812456.832622322,185.0
6,Production,auto_grid,bottom_toe_floor,6,444241.4406884738,6812417.830734682,185.0
6,Production,auto_grid,bottom_toe_floor,7,444213.8606680162,6812416.461160272,185.0
6,Production,auto_grid,top_crest,1,444214.04674317833,6812411.004119603,200.0
6,Production,auto_grid,top_crest,2,444171.5030591505,6812410.214737367,200.0
6,Production,auto_grid,top_crest,3,444125.2183791258,6812410.249955666,200.0
6,Production,auto_grid,top_crest,4,444129.20382788463,6812469.968414737,200.0
6,Production,auto_grid,top_crest,5,444249.85455225775,6812461.916511067,200.0
6,Production,auto_grid,top_crest,6,444246.5645625159,6812412.61889626,200.0
6,Production,auto_grid,top_crest,7,444214.04674317833,6812411.004119603,200.0
7,Production,auto_grid,bottom_toe_floor,1,444340.10559297114,6812426.24264578,185.0
7,Production,auto_grid,bottom_toe_floor,2,444324.7773927156,6812426.780275954,185.0
7,Production,auto_grid,bottom_toe_floor,3,444316.56933310354,6812427.773709939,185.0
7,Production,auto_grid,bottom_toe_floor,4,444303.1008761371,6812427.460822769,185.0
7,Production,auto_grid,bottom_toe_floor,5,444289.60302663496,6812425.777668538,185.0
7,Production,auto_grid,bottom_toe_floor,6,444275.5711329539,6812422.9719571285,185.0
7,Production,auto_grid,bottom_toe_floor,7,444264.36604821816,6812420.081157516,185.0
7,Production,auto_grid,bottom_toe_floor,8,444245.3321865503,6812418.023979506,185.0
7,Production,auto_grid,bottom_toe_floor,9,444241.4406884738,6812417.830734682,185.0
7,Production,auto_grid,bottom_toe_floor,10,444244.04356917605,6812456.832622322,185.0
7,Production,auto_grid,bottom_toe_floor,11,444353.7994217227,6812449.507812991,185.0
7,Production,auto_grid,bottom_toe_floor,12,444352.2358829752,6812426.079554255,185.0
7,Production,auto_grid,bottom_toe_floor,13,444340.10559297114,6812426.24264578,185.0
7,Production,auto_grid,top_crest,1,444339.9731921151,6812420.78437896,200.0
7,Production,auto_grid,top_crest,2,444324.35293717147,6812421.332252829,200.0
7,Production,auto_grid,top_crest,3,444316.30336614745,6812422.3065046985,200.0
7,Production,auto_grid,top_crest,4,444303.5030777088,6812422.009139824,200.0
7,Production,auto_grid,top_crest,5,444290.4772124763,6812420.384841066,200.0
7,Production,auto_grid,top_crest,6,444276.7892157624,6812417.647892695,200.0
7,Production,auto_grid,top_crest,7,444265.3464320466,6812414.6957691265,200.0
7,Production,auto_grid,top_crest,8,444245.7612626423,6812412.579005828,200.0
7,Production,auto_grid,top_crest,9,444235.5847787709,6812412.073659866,200.0
7,Production,auto_grid,top_crest,10,444238.9596804313,6812462.6436054045,200.0
7,Production,auto_grid,top_crest,11,444359.6104048044,6812454.591701736,200.0
7,Production,auto_grid,top_crest,12,444357.3386136631,6812420.5509011885,200.0
7,Production,auto_grid,top_crest,13,444339.9731921151,6812420.78437896,200.0
8,Production,auto_grid,bottom_toe_floor,1,444454.14563483273,6812425.8376176795,185.0
