pattern_id,pattern_type,surface,vertex_id,x,y,z_rl
2,Slot,bottom_toe_floor,14,363533.6355425435,6591665.936751605,190.0
2,Slot,bottom_toe_floor,15,363524.41301241296,6591667.093773218,190.0
2,Slot,bottom_toe_floor,16,363515.32492452924,6591668.614232812,190.0
2,Slot,bottom_toe_floor,17,363506.21799767856,6591670.127473444,190.0
2,Slot,bottom_toe_floor,18,363497.2149856985,6591671.850849434,190.0
2,Slot,bottom_toe_floor,19,363490.77423509734,6591672.817927419,190.0
2,Slot,bottom_toe_floor,20,363495.22879759717,6591702.485365343,190.0
2,Slot,top_crest,1,363493.7468941979,6591704.490908448,200.0
2,Slot,top_crest,2,363501.9488484049,6591703.259385936,200.0
2,Slot,top_crest,3,363503.1693925103,6591703.05102028,200.0
2,Slot,top_crest,4,363511.80797616014,6591701.397403948,200.0
2,Slot,top_crest,5,363520.5314393544,6591699.947881055,200.0
2,Slot,top_crest,6,363520.5651896113,6591699.942254047,200.0
2,Slot,top_crest,7,363529.0125050149,6591698.528997549,200.0
2,Slot,top_crest,8,363536.41106465575,6591697.600803952,200.0
2,Slot,top_crest,9,363544.77453435125,6591697.181780853,200.0
2,Slot,top_crest,10,363544.91819877806,6591697.174247528,200.0
2,Slot,top_crest,11,363553.6904133384,6591696.6937680105,200.0
2,Slot,top_crest,12,363551.8568163653,6591663.21740649,200.0
2,Slot,top_crest,13,363543.0907529575,6591663.697549092,200.0
2,Slot,top_crest,14,363533.4814653885,6591664.178989642,200.0
2,Slot,top_crest,15,363524.1576814405,6591665.348714152,200.0
2,Slot,top_crest,16,363515.03493249073,6591666.874972629,200.0
2,Slot,top_crest,17,363505.90768200404,6591668.391590311,200.0
2,Slot,top_crest,18,363496.9182015537,6591670.112376067,200.0
2,Slot,top_crest,19,363488.7686919939,6591671.336024019,200.0
2,Slot,top_crest,20,363493.7468941979,6591704.490908448,200.0
3,First production blast,bottom_toe_floor,1,363494.94033182744,6591702.528678446,190.0
3,First production blast,bottom_toe_floor,2,363494.65181151347,6591702.571999739,190.0
3,First production blast,bottom_toe_floor,3,363504.9893271667,6591781.895565629,190.0
3,First production blast,bottom_toe_floor,4,363564.40771248785,6591774.152110308,190.0
3,First production blast,bottom_toe_floor,5,363554.08035567595,6591694.90649695,190.0
3,First production blast,bottom_toe_floor,6,363552.95527568535,6591694.96812083,190.0
3,First production blast,bottom_toe_floor,7,363494.94033182744,6591702.528678446,190.0
3,First production blast,top_crest,1,363494.69546670746,6591700.7824094435,200.0
3,First production blast,top_crest,2,363492.67985140375,6591701.085053856,200.0
3,First production blast,top_crest,3,363503.46870659,6591783.871914254,200.0
3,First production blast,top_crest,4,363566.38406111265,6591775.6727308845,200.0
3,First production blast,top_crest,5,363555.61742872786,6591693.056394229,200.0
3,First production blast,top_crest,6,363552.7928988065,6591693.211101889,200.0
3,First production blast,top_crest,7,363494.69546670746,6591700.7824094435,200.0
