Date,Shift,Sample,Throughput,PercentSolids,Grade_Au,AU_tailing,Grade_Ag,Grade_Cu,NaCN_Added,NaCN_conc_tailing,Weight_Retained_g_150_plus100mesh,Weight_Retained_g_75_plus200mesh,Weight_Retained_g_46_plus300mesh,Weight_Retained_g_38_plus400mesh,Weight_Retained_g_38_minus400mesh,Weight_Retained_g_Total,Weight_Retained_pct_150_plus100mesh,Weight_Retained_pct_75_plus200mesh,Weight_Retained_pct_46_plus300mesh,Weight_Retained_pct_38_plus400mesh,Weight_Retained_pct_38_minus400mesh,Weight_Retained_pct_Total,Cum_Weight_Passing_pct_150_plus100mesh,Cum_Weight_Passing_pct_75_plus200mesh,Cum_Weight_Passing_pct_46_plus300mesh,Cum_Weight_Passing_pct_38_plus400mesh,Cum_Weight_Passing_pct_38_minus400mesh,pct_Passing_75µm,P80_µm,Au_Assay_150_plus100mesh,Au_Assay_75_plus200mesh,Au_Assay_46_plus300mesh,Au_Assay_38_plus400mesh,Au_Assay_38_minus400mesh,pct_Dist_Retained_Au_150_plus100mesh,pct_Dist_Retained_Au_75_plus200mesh,pct_Dist_Retained_Au_46_plus300mesh,pct_Dist_Retained_Au_38_plus400mesh,pct_Dist_Retained_Au_38_minus400mesh,pctCum_Passing_Au_150_plus100mesh,pctCum_Passing_Au_75_plus200mesh,pctCum_Passing_Au_46_plus300mesh,pctCum_Passing_Au_38_plus400mesh,pctCum_Passing_Au_38_minus400mesh,pct_Passing_75µm_2,Au_P80_µm,Slurry_Volume_m3,Residence_Time_hr
2024-07-30,AM/PM,Leach Feed DS (06-18),408.1636,33.23,0.5,0.030002988061764893,11.0,89.0,2.1580952853440234,158.33333333333334,,53.8,49.2,20.8,243.2,367.0,0.0,0.14659400544959128,0.1340599455040872,0.056675749318801094,0.6626702997275205,1.0,1.0,0.8534059945504087,0.7193460490463215,0.6626702997275205,0,0.8534059945504087,74.33646409987546,,0.22,0.24,0.3,0.54,0.0,0.07341885219462571,0.07324516785350967,0.038706796020147385,0.8146291839317173,1.0,0.9265811478053743,0.8533359799518646,0.8146291839317172,0,0.9265811478053743,18.433203290391305,408.1636,379.14208910348697
2024-07-31,AM/PM,Leach Feed DS (06-18),681.7965599999999,36.77,0.5295317674114988,0.040002914620861224,12.0,93.0,2.1580952853440234,200.0,16.3,39.2,23.0,12.3,227.8,318.6,0.05116133082234777,0.12303829252981795,0.0721908349026993,0.038606403013182675,0.7150031387319523,1.0,0.9488386691776522,0.8258003766478343,0.7536095417451351,0.7150031387319524,0,0.8258003766478343,71.94848390519871,0.33,0.44,0.6,0.52,0.44,0.03760092272202999,0.12056901191849288,0.0964663940442487,0.04471007654398658,0.7006535947712418,0.96239907727797,0.8418300653594771,0.7453636713152284,0.7006535947712418,0,0.8418300653594771,71.85536357845098,681.7965599999999,226.97679788821466
2024-08-01,AM/PM,Leach Feed DS (06-18),692.0251092104467,33.5,0.5295317674114988,0.04013538115838142,14.486200128959632,94.92776968533522,1.0110066782092506,213.63636363636363,69.2,64.3,46.8,15.2,258.5,454.0,0.1524229074889868,0.14162995594713657,0.10308370044052863,0.033480176211453744,0.5693832599118943,1.0,0.8475770925110132,0.7059471365638766,0.602863436123348,0.5693832599118943,0,0.7059471365638766,124.95539514873758,0.36,0.39,0.45,0.42,0.66,0.10043419890906012,0.10109940615135278,0.0849046334708095,0.02573747293815991,0.6878242885306177,0.8995658010909399,0.798466394939587,0.7135617614687776,0.6878242885306177,0,0.798466394939587,90.40019949911556,692.0251092104467,223.6219436843288
2024-08-07,AM/PM,Leach Feed DS (06-18),925.9212112104163,34.2,0.5110943088905039,0.04518587348355498,14.670699563855537,83.36312320983683,1.0110066782092506,83.33333333333333,10.9,15.2,49.8,16.3,212.5,304.7,0.03577289136855924,0.04988513291762389,0.16343944863800458,0.05349524122087299,0.6974072858549393,1.0,0.9642271086314408,0.9143419757138169,0.7509025270758123,0.6974072858549393,0,0.9143419757138169,66.07245134530245,0.46,0.72,0.58,1.62,0.52,0.027587648832449328,0.060215243083830354,0.1589233444109426,0.14528908158549203,0.6079846820872857,0.9724123511675506,0.9121971080837203,0.7532737636727778,0.6079846820872857,0,0.9121971080837203,74.23049084466598,925.9212112104163,167.13301102336717
2024-08-08,AM/PM,Leach Feed DS (06-18),706.6700050581035,29.9,0.4711431138974346,0.05019377898730474,16.107895858681623,89.52712722290654,1.0110066782092506,145.83333333333334,4.1,25.3,43.1,16.2,208.5,297.2,0.013795423956931358,0.08512786002691791,0.14502018842530284,0.05450874831763122,0.7015477792732168,1.0,0.9862045760430687,0.9010767160161508,0.756056527590848,0.7015477792732168,0,0.9010767160161508,64.13879005209151,0.39,0.39,0.33,0.28,0.5,0.011890686001115449,0.07337423312883437,0.10576687116564418,0.033731176798661465,0.7752370329057446,0.9881093139988846,0.9147350808700502,0.808968209704406,0.7752370329057445,0,0.9147350808700502,41.87805477190517,706.6700050581035,218.9876447172483
2024-08-10,AM/PM,Leach Feed DS (06-18),510.100020630647,32.44444444444444,0.6081068167310314,0.030056721817570006,15.41198113788129,99.14270175297341,1.0110066782092506,130.0,0.5,8.6,36.3,14.0,105.0,164.4,0.003041362530413625,0.052311435523114354,0.22080291970802918,0.0851581508515815,0.6386861313868613,1.0,0.9969586374695864,0.944647201946472,0.7238442822384428,0.6386861313868613,0,0.944647201946472,70.59255104676058,0.24,0.24,0.28,0.26,0.64,0.0014425157474635764,0.024811270856373517,0.12218108381016492,0.043756311006395154,0.8078088185796028,0.9985574842525364,0.973746213396163,0.8515651295859981,0.8078088185796028,0,0.973746213396163,26.37936483348051,510.100020630647,303.37579639514024
2024-08-11,AM/PM,Leach Feed DS (06-18),485.29001277676406,28.5,0.5757481919301333,0.03004549969265209,13.817604072168205,96.2323336020231,1.0110066782092506,122.22222222222223,0.3,4.4,66.6,19.0,189.2,279.5,0.001073345259391771,0.015742397137745976,0.23828264758497314,0.06797853309481217,0.6769230769230768,0.9999999999999999,0.9989266547406083,0.9831842576028623,0.7449016100178891,0.676923076923077,0,0.9831842576028623,64.2622641419886,,0.3,0.29,0.3,0.76,0.0,0.0077589551273761805,0.11352762070465418,0.03350457895912441,0.8452088452088452,1.0,0.9922410448726238,0.8787134241679696,0.8452088452088452,0,0.9922410448726238,8.646981363720727,485.29001277676406,318.88560639138217
2024-08-12,AM/PM,Leach Feed DS (06-18),745.8831418481043,32.0,0.6450520117822518,0.07039761103913972,18.86480411298941,99.7195656877868,1.0110066782092506,150.0,,34.2,10.5,9.9,123.7,178.3,0.0,0.19181155356141336,0.05888951205832865,0.05552439708356702,0.6937745372966909,1.0,1.0,0.8081884464385867,0.7492989343802581,0.693774537296691,0,0.8081884464385867,72.36933788649861,,0.3,0.32,0.23,0.6,0.0,0.11385199240986718,0.03728486301141849,0.02526715270148807,0.8235959918772263,1.0,0.8861480075901328,0.8488631445787143,0.8235959918772262,0,0.8861480075901328,18.66827261807839,745.8831418481043,207.4748594217652
2024-08-13,AM/PM,Leach Feed DS (06-18),517.480012686945,32.5,0.7377331983800526,0.06001685328054679,20.741556445121617,100.11287303467101,1.0110066782092506,158.33333333333334,5.6,47.5,37.8,15.4,210.0,316.3,0.017704710717673093,0.15017388555169142,0.11950679734429338,0.04868795447360101,0.663926651912741,1.0,0.9822952892823269,0.8321214037306355,0.7126146063863421,0.6639266519127411,0,0.8321214037306355,78.04578686726467,0.39,0.36,0.52,0.79,0.82,0.009780301469732116,0.07657653623279266,0.08802271322758905,0.054481294725623144,0.7711391543442631,0.9902196985302679,0.9136431622974752,0.8256204490698862,0.7711391543442631,0,0.9136431622974752,39.892767313966715,517.480012686945,299.0492312861924
2024-08-14,AM/PM,Leach Feed DS (06-18),476.264208131388,37.0,0.6711203541095094,0.06047921471917728,20.969077185874017,107.73712026352733,1.0110066782092506,161.11111111111111,4.8,34.6,36.7,13.3,164.0,253.39999999999998,0.018942383583267563,0.13654301499605367,0.14483030781373324,0.05248618784530387,0.6471981057616417,1.0,0.9810576164167324,0.8445146014206787,0.6996842936069454,0.6471981057616415,0,0.8445146014206787,79.49909041398394,0.51,0.5,0.69,1.11,0.9,0.011801344041960335,0.08340002121156609,0.12207738364973919,0.0711696250373613,0.711551626059373,0.9881986559580397,0.9047986347464736,0.7827212510967344,0.711551626059373,0,0.9047986347464736,59.37739978004885,476.264208131388,324.92888896095303
